moderador,espec,esquema,tiempo_s,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio
"ln_ley_sn (PRIMARIO, a priori)",a_sin_moderar,gkf,0.9,298,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'x_R_gn': np.float64(-1.136), 'x_R_carbon': np.float64(1.0003)}"
"ln_ley_sn (PRIMARIO, a priori)",a_sin_moderar,crono,0.9,298,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.004497751124437781,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'x_R_gn': np.float64(-1.0529), 'x_R_carbon': np.float64(0.9108)}"
"ln_ley_sn (PRIMARIO, a priori)",a_sin_moderar,crono,0.9,361,0.7212230268564436,0.4390731141459587,1.6426034836118235,0.05023249977185995,0.09539263249720695,0.07024858944541736,0.086650945822991,0.05697151424287856,0.5414770559320815,-0.853199355580237,0.2514417155051476,"{'x_R_gn': np.float64(-0.6005), 'x_R_carbon': np.float64(1.0472)}"
"ln_ley_sn (PRIMARIO, a priori)",b_moderado_libre,gkf,0.4,298,0.7072587553931833,0.2952665035792629,2.3953233665847335,0.008302856499669994,0.170976674332379,0.0030669823672726947,0.14481617863004048,0.004497751124437781,0.9268448655224243,-0.9153542195559993,0.892713902469526,"{'x_R_gn': np.float64(-1.0793), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.5647), 'x_R_carbon': np.float64(0.6939), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(-0.795)}"
"ln_ley_sn (PRIMARIO, a priori)",b_moderado_libre,crono,0.4,298,0.7552562893213847,0.26743280398672536,2.8240974108728767,0.0023706986115692194,0.17053273866813407,0.0031455855091278117,0.1594452712721741,0.0029985007496251873,0.9538734409542249,-1.0556852605134552,0.8695518662077419,"{'x_R_gn': np.float64(-1.014), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.5828), 'x_R_carbon': np.float64(0.5581), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(-0.8218)}"
"ln_ley_sn (PRIMARIO, a priori)",b_moderado_libre,crono,0.4,361,0.6982327114813085,0.34658818041875544,2.0145889298293103,0.021973869177447574,0.12222290241451257,0.020184709983044797,0.10284241861578067,0.0239880059970015,0.6649695348542406,-0.7596732703083066,0.5752465435578552,"{'x_R_gn': np.float64(-0.5449), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.5343), 'x_R_carbon': np.float64(0.733), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(-0.6901)}"
"ln_ley_sn (PRIMARIO, a priori)",c_moderado_signos,gkf,0.5,298,0.7293114475418925,0.35285745367329663,2.0668727270733718,0.019373074116496237,0.14922836136725837,0.009888195133179315,0.13249987457547416,0.00849575212393803,0.8204291108341697,-0.6586674205606573,0.8868891518904264,"{'x_R_gn': np.float64(-1.1714), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.327), 'x_R_carbon': np.float64(1.0251), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.0)}"
"ln_ley_sn (PRIMARIO, a priori)",c_moderado_signos,crono,0.5,298,0.8178368161175344,0.35680384199425724,2.2921188615752,0.010949392643316647,0.16506720591926308,0.00427462634815243,0.14689345077307384,0.004497751124437781,0.8103318721535905,-0.8323687571949588,0.8264512433769584,"{'x_R_gn': np.float64(-1.0983), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.3602), 'x_R_carbon': np.float64(0.9273), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.0)}"
"ln_ley_sn (PRIMARIO, a priori)",c_moderado_signos,crono,0.5,361,0.6868388174019712,0.41113504506815785,1.670591757236621,0.047401170859199655,0.11684190120547078,0.02642517700474552,0.08836308809584006,0.047476261869065464,0.58354971267097,-1.0656125575763953,0.2859781768021895,"{'x_R_gn': np.float64(-0.6172), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.3502), 'x_R_carbon': np.float64(1.0322), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_ln': np.float64(0.0)}"
ln_m6_sn_inv_kg (sensibilidad),a_sin_moderar,gkf,0.4,298,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'x_R_gn': np.float64(-1.136), 'x_R_carbon': np.float64(1.0003)}"
