version,muestra,canal,n,coef_Sn,p_Sn,coef_FeO,p_FeO
LOG_ident,DEV,f_metal,297,-3.356469519811901,0.4535249636161067,10.323853771192066,0.7692619576425493
LOG_ident,DEV,f_dross,297,-0.7812704987795911,0.8454140950807976,-33.08899894746986,0.276662229113364
LOG_ident,DEV,f_polvo,297,4.13774001859151,0.18735664973592647,22.765145176277386,0.3678031183900732
LOG_ident,DEV,sn_perdido_escoria_frac,297,-0.32615040112557014,0.7382078706020887,5.7735224379419225,0.39098249389035955
LOG_ident,TOTAL,f_metal,360,-5.517532209327058,0.16717080989467226,-26.596593785188972,0.3909108034365706
LOG_ident,TOTAL,f_dross,360,-0.15131543592019892,0.9676789514330364,-17.904356722623547,0.5271919342103435
LOG_ident,TOTAL,f_polvo,360,5.668847645247297,0.05095406985718483,44.50095050781258,0.04752482857762904
LOG_ident,TOTAL,sn_perdido_escoria_frac,360,-0.42461513046918586,0.6099863488743784,3.438297153078601,0.5299323435516379
KG_ident,DEV,f_metal,297,-0.0003619808073535286,0.6980097667778764,-0.0029415106362923314,0.08684050676349661
KG_ident,DEV,f_dross,297,-0.0003548787509939573,0.7031083059964904,0.0030330531186543276,0.03884158001892642
KG_ident,DEV,f_polvo,297,0.0007168595583475271,0.17497307026421316,-9.154248236189037e-05,0.9434899746004805
KG_ident,DEV,sn_perdido_escoria_frac,297,-8.363428040188267e-05,0.5851255963977089,-0.00062961521697063,0.008010890918141821
KG_ident,TOTAL,f_metal,360,-0.0003248807395826621,0.7244431114594898,-0.0007246716487461693,0.6570578946861662
KG_ident,TOTAL,f_dross,360,-0.0005701143782431317,0.5518377535176323,0.0022009111133604827,0.12849139689607764
KG_ident,TOTAL,f_polvo,360,0.0008949951178258386,0.08320162526938162,-0.0014762394646142974,0.20724821974843355
KG_ident,TOTAL,sn_perdido_escoria_frac,360,-0.0002268464417597894,0.33475608266630774,-0.00034736426797615626,0.24195451122798062
