moderador,regimen,x,n,beta,p
T_prev_F1,DEV,exo2_x_mod,298,-0.052381992885698864,0.9157308449178856
T_prev_F1,DEV,carbon_x_mod,298,0.6509797751274874,0.2394077130695299
T_prev_F1,total,exo2_x_mod,361,0.28846234969149703,0.44729572386591787
T_prev_F1,total,carbon_x_mod,361,-0.2632545950263904,0.4963703396415845
sn_prev_F1,DEV,exo2_x_mod,297,-0.16979022942742575,0.7709647653069812
sn_prev_F1,DEV,carbon_x_mod,297,-0.6346306613734378,0.3981926622175068
sn_prev_F1,total,exo2_x_mod,359,-0.3849922652042841,0.31250796731947705
sn_prev_F1,total,carbon_x_mod,359,-0.11821984985574721,0.7776367467424077
feo_prev_F1,DEV,exo2_x_mod,296,-0.2441174166303548,0.6905494544404193
feo_prev_F1,DEV,carbon_x_mod,296,0.2589690550892856,0.5805332022862244
feo_prev_F1,total,exo2_x_mod,358,0.010161238891909341,0.98402657112283
feo_prev_F1,total,carbon_x_mod,358,0.3101827360505469,0.4320756210753325
