regimen,y,x,n,beta,p
DEV,recuperacion_refinada_pct,x_F13_carbon,298,-0.6061408026506656,0.11707926773861493
DEV,recuperacion_refinada_pct,x_F46_carbon,298,0.19554484400794558,0.6678365121283774
DEV,recuperacion_refinada_pct,x_F13_gn,298,-0.30382210396979276,0.39816628239730345
DEV,recuperacion_refinada_pct,x_F46_gn,298,0.1630992520082289,0.8339273018577813
DEV,recuperacion_refinada_pct,x_F13_exo2,298,-0.7478165501499956,0.17579196327570246
DEV,recuperacion_refinada_pct,x_F46_exo2,298,-0.024499102194517397,0.97680747461798
DEV,f_metal,x_F13_carbon,298,-0.6347647548561458,0.10022176816685383
DEV,f_metal,x_F46_carbon,298,0.25104192166040207,0.5912167283822225
DEV,f_metal,x_F13_gn,298,-0.24602053399615614,0.4946533222101276
DEV,f_metal,x_F46_gn,298,0.09356276140072277,0.9081898866617315
DEV,f_metal,x_F13_exo2,298,-0.757710066334202,0.16255103222076628
DEV,f_metal,x_F46_exo2,298,-0.0769128528272969,0.9307761809776828
DEV,f_dross,x_F13_carbon,298,-0.03461852524131599,0.909805440715317
DEV,f_dross,x_F46_carbon,298,-0.621106104346079,0.0723527727329027
DEV,f_dross,x_F13_gn,298,0.4719625534313913,0.1469457137950001
DEV,f_dross,x_F46_gn,298,-0.4354579055376076,0.35241966986897566
DEV,f_dross,x_F13_exo2,298,0.8291985849719627,0.08042971719036562
DEV,f_dross,x_F46_exo2,298,0.06606172285884174,0.8947064257251718
DEV,f_polvo,x_F13_carbon,298,0.669383280097476,0.013501992870318415
DEV,f_polvo,x_F46_carbon,298,0.3700641826856691,0.22928580483589023
DEV,f_polvo,x_F13_gn,298,-0.22594201943523082,0.338117048745483
DEV,f_polvo,x_F46_gn,298,0.34189514413686906,0.4757003426569373
DEV,f_polvo,x_F13_exo2,298,-0.07148851863775109,0.8145650821716
DEV,f_polvo,x_F46_exo2,298,0.010851129968463519,0.9837030187411241
DEV,sn_perdido_escoria_frac,x_F13_carbon,298,-0.023194588761342175,0.7270293538895227
DEV,sn_perdido_escoria_frac,x_F46_carbon,298,0.07697199190040532,0.209796701308112
DEV,sn_perdido_escoria_frac,x_F13_gn,298,0.08443477748079461,0.18663828628938517
DEV,sn_perdido_escoria_frac,x_F46_gn,298,-0.10090048916858044,0.2018786016768871
DEV,sn_perdido_escoria_frac,x_F13_exo2,298,0.004642774668626483,0.9653460397088173
DEV,sn_perdido_escoria_frac,x_F46_exo2,298,-0.07869618208684188,0.44059723174587595
total,recuperacion_refinada_pct,x_F13_carbon,361,-0.34104884087119297,0.35648134317467617
total,recuperacion_refinada_pct,x_F46_carbon,361,0.5245117776251909,0.14964910617990973
total,recuperacion_refinada_pct,x_F13_gn,361,-0.3277729553378831,0.29875196288881245
total,recuperacion_refinada_pct,x_F46_gn,361,0.2944685235951606,0.6708882044587212
total,recuperacion_refinada_pct,x_F13_exo2,361,-0.7383803554338667,0.08283495176181951
total,recuperacion_refinada_pct,x_F46_exo2,361,-0.535157045873263,0.4265651717793797
total,f_metal,x_F13_carbon,361,-0.3568391052379584,0.33567897057902296
total,f_metal,x_F46_carbon,361,0.5845575231123167,0.11531092703884514
total,f_metal,x_F13_gn,361,-0.2483336032226237,0.43382618110897264
total,f_metal,x_F46_gn,361,0.16035147864100036,0.8199715466400775
total,f_metal,x_F13_exo2,361,-0.737736803650424,0.08574951905331679
total,f_metal,x_F46_exo2,361,-0.4902295054422556,0.4699347543044369
total,f_dross,x_F13_carbon,361,-0.12486258164151191,0.665385313665847
total,f_dross,x_F46_carbon,361,-0.9828824153011351,0.0004374764135775984
total,f_dross,x_F13_gn,361,0.5034090843433979,0.08180044980441742
total,f_dross,x_F46_gn,361,-0.44800431207981706,0.3100618427438422
total,f_dross,x_F13_exo2,361,0.6617039115497719,0.08046830153360407
total,f_dross,x_F46_exo2,361,0.24808165059068218,0.5470608485974481
total,f_polvo,x_F13_carbon,361,0.4817016868794758,0.04104092906555949
total,f_polvo,x_F46_carbon,361,0.3983248921888128,0.11181360765083075
total,f_polvo,x_F13_gn,361,-0.25507548112078116,0.23783585497685789
total,f_polvo,x_F46_gn,361,0.28765283343883363,0.42547145405112197
total,f_polvo,x_F13_exo2,361,0.07603289210064595,0.7620510565524552
total,f_polvo,x_F46_exo2,361,0.24214785485157767,0.5238557368308311
total,sn_perdido_escoria_frac,x_F13_carbon,361,-0.010157027752241907,0.8565449482795605
total,sn_perdido_escoria_frac,x_F46_carbon,361,0.07783436947416138,0.21656893279403666
total,sn_perdido_escoria_frac,x_F13_gn,361,0.12024347251094486,0.06811475751603041
total,sn_perdido_escoria_frac,x_F46_gn,361,-0.20250514648567447,0.047008810648674175
total,sn_perdido_escoria_frac,x_F13_exo2,361,0.019730122063801852,0.7649651185889853
total,sn_perdido_escoria_frac,x_F46_exo2,361,0.08236469518153132,0.6293813139428865
