tercio,y,x,n,beta,p
T1,recuperacion_refinada_pct,x_F_carbon,119,-0.986897307020203,0.18866054816857936
T1,recuperacion_refinada_pct,x_F_gn,119,0.04015422326994511,0.9432550518492703
T1,recuperacion_refinada_pct,x_F_exo2,119,-0.7072747425547519,0.5483562255331098
T1,recuperacion_refinada_pct,x_Rt_carbon,119,-0.7691681915117308,0.2909932788808447
T1,recuperacion_refinada_pct,x_Rt_gn,119,0.17413700445305458,0.7476137755459316
T1,recuperacion_refinada_pct,x_Rl_carbon,119,-0.06707230204668291,0.8936387712737641
T1,recuperacion_refinada_pct,x_Rl_gn,119,-0.2344386404484414,0.7093788220912368
T1,f_metal,x_F_carbon,119,-0.9939564289572296,0.19696003383820682
T1,f_metal,x_F_gn,119,0.01676653538702283,0.9768858636585332
T1,f_metal,x_F_exo2,119,-0.6845913604496037,0.5627540227455179
T1,f_metal,x_Rt_carbon,119,-0.8274592954573191,0.25636319188239043
T1,f_metal,x_Rt_gn,119,0.1614741080365989,0.7711532955458926
T1,f_metal,x_Rl_carbon,119,-0.08085089660797296,0.8726082003735435
T1,f_metal,x_Rl_gn,119,-0.2238699494158762,0.7255659574048637
T1,f_dross,x_F_carbon,119,-0.04339217546212509,0.9476059379982569
T1,f_dross,x_F_gn,119,0.14865035001990345,0.7416687512520843
T1,f_dross,x_F_exo2,119,0.6145304884308647,0.517193740279144
T1,f_dross,x_Rt_carbon,119,0.19025718652490498,0.7376692177627517
T1,f_dross,x_Rt_gn,119,0.07734084812510139,0.8552540351955312
T1,f_dross,x_Rl_carbon,119,0.011758199003722797,0.9774274081614751
T1,f_dross,x_Rl_gn,119,0.22945999896864838,0.6735773230973467
T1,f_polvo,x_F_carbon,119,1.03734860441936,0.06275030445312012
T1,f_polvo,x_F_gn,119,-0.16541688540693167,0.7323597174594487
T1,f_polvo,x_F_exo2,119,0.07006087201872513,0.9073124081875596
T1,f_polvo,x_Rt_carbon,119,0.6372021089324198,0.13109680303394686
T1,f_polvo,x_Rt_gn,119,-0.23881495616169363,0.529332433498575
T1,f_polvo,x_Rl_carbon,119,0.06909269760425374,0.8237060202235118
T1,f_polvo,x_Rl_gn,119,-0.005590049552773367,0.9882006659724895
T1,sn_perdido_escoria_frac,x_F_carbon,119,0.013391142756500364,0.8988897006947301
T1,sn_perdido_escoria_frac,x_F_gn,119,-0.034856633633944215,0.7401747155002025
T1,sn_perdido_escoria_frac,x_F_exo2,119,0.040582271804092976,0.8518242485434862
T1,sn_perdido_escoria_frac,x_Rt_carbon,119,-0.07033294612967542,0.44585747327036873
T1,sn_perdido_escoria_frac,x_Rt_gn,119,-0.021425933372250357,0.7663180141533084
T1,sn_perdido_escoria_frac,x_Rl_carbon,119,-0.019501838663370137,0.8011150739493706
T1,sn_perdido_escoria_frac,x_Rl_gn,119,0.018276122187500275,0.8262289130161322
T2,recuperacion_refinada_pct,x_F_carbon,120,-0.019772766733657576,0.9890961430429163
T2,recuperacion_refinada_pct,x_F_gn,120,-0.3491723126946096,0.8810849532471474
T2,recuperacion_refinada_pct,x_F_exo2,120,-0.5973906483255504,0.5530576836261867
T2,recuperacion_refinada_pct,x_Rt_carbon,120,0.8572107411244438,0.46047326844201764
T2,recuperacion_refinada_pct,x_Rt_gn,120,-1.1351065849557376,0.20771444604966138
T2,recuperacion_refinada_pct,x_Rl_carbon,120,0.6907315099569544,0.46981487398098354
T2,recuperacion_refinada_pct,x_Rl_gn,120,-0.36775165767335016,0.5947380585229087
T2,f_metal,x_F_carbon,120,-0.007727905309471428,0.9956821451152827
T2,f_metal,x_F_gn,120,-0.352523515753115,0.8758165001850586
T2,f_metal,x_F_exo2,120,-0.6043842776135682,0.5475764359620279
T2,f_metal,x_Rt_carbon,120,0.5291247743508194,0.6526257166008422
T2,f_metal,x_Rt_gn,120,-1.095273614048926,0.2307985027670829
T2,f_metal,x_Rl_carbon,120,0.4368529030548265,0.6515228829071915
T2,f_metal,x_Rl_gn,120,-0.47769020453095346,0.450010147826964
T2,f_dross,x_F_carbon,120,-1.3435818484640727,0.16127193342469603
T2,f_dross,x_F_gn,120,-0.34880527964886543,0.7523337959155227
T2,f_dross,x_F_exo2,120,1.5505728285458016,0.23055159214541665
T2,f_dross,x_Rt_carbon,120,-0.592459480097925,0.5644128012917875
T2,f_dross,x_Rt_gn,120,0.9461078351210646,0.1523291274131916
T2,f_dross,x_Rl_carbon,120,-0.03335823186847919,0.964143817752551
T2,f_dross,x_Rl_gn,120,0.18833407446902917,0.6952040521738421
T2,f_polvo,x_F_carbon,120,1.3513097537735344,0.13755364634796988
T2,f_polvo,x_F_gn,120,0.7013287954019797,0.5710482437491408
T2,f_polvo,x_F_exo2,120,-0.9461885509322356,0.28015167164714105
T2,f_polvo,x_Rt_carbon,120,0.06333470574707234,0.9471392596411623
T2,f_polvo,x_Rt_gn,120,0.1491657789278784,0.7823636364316165
T2,f_polvo,x_Rl_carbon,120,-0.40349467118633764,0.5373714593950234
T2,f_polvo,x_Rl_gn,120,0.28935613006191696,0.500535962565678
T2,sn_perdido_escoria_frac,x_F_carbon,120,0.03188397997101414,0.8684000514974929
T2,sn_perdido_escoria_frac,x_F_gn,120,-0.00395738280017191,0.9838316151624327
T2,sn_perdido_escoria_frac,x_F_exo2,120,0.011262379217376384,0.9658577287763584
T2,sn_perdido_escoria_frac,x_Rt_carbon,120,-0.49117926572759957,0.033774295245735844
T2,sn_perdido_escoria_frac,x_Rt_gn,120,0.07648350437398205,0.44504882337767215
T2,sn_perdido_escoria_frac,x_Rl_carbon,120,-0.37579133760758837,0.0042029489376986745
T2,sn_perdido_escoria_frac,x_Rl_gn,120,-0.15695650465100133,0.37261396852490847
T3,recuperacion_refinada_pct,x_F_carbon,121,0.52393529835889,0.5386467790948926
T3,recuperacion_refinada_pct,x_F_gn,121,0.36806679142774423,0.6138820116948076
T3,recuperacion_refinada_pct,x_F_exo2,121,-1.9564009321277513,0.015000435714417601
T3,recuperacion_refinada_pct,x_Rt_carbon,121,1.7480818098420632,0.09233945290711666
T3,recuperacion_refinada_pct,x_Rt_gn,121,-0.2763073783871988,0.6112504689524354
T3,recuperacion_refinada_pct,x_Rl_carbon,121,0.44240976483013816,0.6008052493210303
T3,recuperacion_refinada_pct,x_Rl_gn,121,0.3122080899598605,0.545778062570883
T3,f_metal,x_F_carbon,121,0.5438765381998087,0.5270973657392664
T3,f_metal,x_F_gn,121,0.24181794065568477,0.6820557711471352
T3,f_metal,x_F_exo2,121,-1.873960226338993,0.0033779749275275432
T3,f_metal,x_Rt_carbon,121,1.541927779420534,0.1516642654207683
T3,f_metal,x_Rt_gn,121,-0.13132781313675582,0.7992001607349672
T3,f_metal,x_Rl_carbon,121,0.32888410900813414,0.6922330709358999
T3,f_metal,x_Rl_gn,121,0.22343421024814608,0.6721869593873652
T3,f_dross,x_F_carbon,121,-0.0488010809476771,0.9442370297651244
T3,f_dross,x_F_gn,121,0.38116687265558735,0.4357312345087031
T3,f_dross,x_F_exo2,121,1.0222398307251637,0.11611390545137637
T3,f_dross,x_Rt_carbon,121,-1.4903933738371051,0.03662690483532244
T3,f_dross,x_Rt_gn,121,0.791099753934599,0.051615010840400974
T3,f_dross,x_Rl_carbon,121,0.3447148002277627,0.630617523262873
T3,f_dross,x_Rl_gn,121,0.12338053690419147,0.766899669972372
T3,f_polvo,x_F_carbon,121,-0.49507545725212593,0.40082062160954124
T3,f_polvo,x_F_gn,121,-0.6229848133112695,0.3237428608851528
T3,f_polvo,x_F_exo2,121,0.8517203956138318,0.03995522335380614
T3,f_polvo,x_Rt_carbon,121,-0.05153440558341877,0.9286762673952467
T3,f_polvo,x_Rt_gn,121,-0.659771940797836,0.0776638256843286
T3,f_polvo,x_Rl_carbon,121,-0.6735989092358873,0.12388761274961688
T3,f_polvo,x_Rl_gn,121,-0.3468147471523367,0.32805817963014283
T3,sn_perdido_escoria_frac,x_F_carbon,121,0.02872604638667191,0.831687402864471
T3,sn_perdido_escoria_frac,x_F_gn,121,-0.194477247407077,0.600113221691182
T3,sn_perdido_escoria_frac,x_F_exo2,121,0.181898021531689,0.6682553690400038
T3,sn_perdido_escoria_frac,x_Rt_carbon,121,-0.3282514217681769,0.14615317287805707
T3,sn_perdido_escoria_frac,x_Rt_gn,121,0.22207920053242605,0.3235645340536878
T3,sn_perdido_escoria_frac,x_Rl_carbon,121,-0.17164131787216533,0.21346731373551175
T3,sn_perdido_escoria_frac,x_Rl_gn,121,-0.13512809303548445,0.08165222394803563
