n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,signos,muestra
298,gkf,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'xG': np.float64(-1.136), 'xC': np.float64(1.0003)}","{'xG': np.float64(0.1943), 'xC': np.float64(0.3217)}",M1_G+C,False,DEV
298,crono,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.004497751124437781,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'xG': np.float64(-1.0529), 'xC': np.float64(0.9108)}","{'xG': np.float64(0.1726), 'xC': np.float64(0.2743)}",M1_G+C,False,DEV
361,crono,0.7212230268564436,0.4390731141459587,1.6426034836118235,0.05023249977185995,0.09539263249720695,0.07024858944541736,0.086650945822991,0.05697151424287856,0.5414770559320815,-0.853199355580237,0.2514417155051476,"{'xG': np.float64(-0.6005), 'xC': np.float64(1.0472)}","{'xG': np.float64(0.2107), 'xC': np.float64(0.1272)}",M1_G+C,False,TOTAL
361,gkf,0.6528136370603718,0.4024869807528479,1.6219496984456252,0.05240705949208895,0.10709942200660123,0.04198341850433689,0.08816911685055141,0.053973013493253376,0.6168647836849105,-0.783293205826189,0.397687370478995,"{'xG': np.float64(-0.6434), 'xC': np.float64(1.1758)}","{'xG': np.float64(0.1698), 'xC': np.float64(0.2692)}",M1_G+C,False,TOTAL
298,gkf,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'xG': np.float64(-1.136), 'xC': np.float64(1.0003)}","{'xG': np.float64(0.1943), 'xC': np.float64(0.3217)}",M1_G+C,True,DEV
298,crono,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.004497751124437781,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'xG': np.float64(-1.0529), 'xC': np.float64(0.9108)}","{'xG': np.float64(0.1726), 'xC': np.float64(0.2743)}",M1_G+C,True,DEV
361,crono,0.7212230268564436,0.4390731141459587,1.6426034836118235,0.05023249977185995,0.09539263249720695,0.07024858944541736,0.086650945822991,0.05697151424287856,0.5414770559320815,-0.853199355580237,0.2514417155051476,"{'xG': np.float64(-0.6005), 'xC': np.float64(1.0472)}","{'xG': np.float64(0.2107), 'xC': np.float64(0.1272)}",M1_G+C,True,TOTAL
361,gkf,0.6528136370603718,0.4024869807528479,1.6219496984456252,0.05240705949208895,0.10709942200660123,0.04198341850433689,0.08816911685055141,0.053973013493253376,0.6168647836849105,-0.783293205826189,0.397687370478995,"{'xG': np.float64(-0.6434), 'xC': np.float64(1.1758)}","{'xG': np.float64(0.1698), 'xC': np.float64(0.2692)}",M1_G+C,True,TOTAL
298,gkf,0.6643658858440978,0.3566782697617796,1.8626474954244296,0.03125593870207118,0.09358268097690334,0.10691016100204669,0.09571331443542548,0.049475262368815595,0.6570609547758169,-0.6672988402487053,0.6543584365933752,"{'xG_hot': np.float64(-1.269), 'xC': np.float64(0.8456)}","{'xG_hot': np.float64(0.3079), 'xC': np.float64(0.3194)}",M2_Ghot+C,False,DEV
298,crono,0.510636107061822,0.28816269876271666,1.7720409659346572,0.038193878616541284,0.08417840953586504,0.14716689114364995,0.09094156737200847,0.05347326336831584,0.8104381652533665,-0.24466716689838555,0.7720876376594812,"{'xG_hot': np.float64(-1.2124), 'xC': np.float64(0.749)}","{'xG_hot': np.float64(0.3964), 'xC': np.float64(0.2848)}",M2_Ghot+C,False,DEV
