W,tmin,paso,muestra,n,frac_score_no_nulo,pendiente,t,p_uni,spearman,kpi_tercio_bajo,kpi_tercio_alto
60,0.0,10,todo,301,1.0,0.4374426315098036,2.215784215345505,0.013353142001157258,0.1470871928010385,-0.9530994500434282,0.24922020581734722
60,0.0,10,DEV,238,1.0,0.5613712280303291,2.305888022778671,0.010558445025709833,0.12315123602536722,-0.851400240433447,0.5836638943225684
60,0.0,10,LB,63,1.0,-0.3561040296991096,-0.8497694953508655,0.8022733737915719,-0.01219278033794163,0.6263767204004479,-0.4660387164345394
60,0.0,25,todo,301,1.0,0.5134878952270754,2.5255697443428504,0.005775542549968997,0.16996369716837914,-0.6523909845965222,0.1591917512182065
60,0.0,25,DEV,238,1.0,0.5030702122335711,2.101388051462676,0.0178034579809983,0.11752911534827375,-0.9752551339400458,0.43640530755439516
60,0.0,25,LB,63,1.0,0.4971598869921837,0.9024919041034566,0.18339781007587347,0.1195756528417819,0.2196208240243309,0.2352542110904538
60,1.0,10,todo,301,0.77,0.35576454910284283,1.7036987769613396,0.04421868837733854,0.10602772066653873,-0.09753697742035829,0.488046576868551
60,1.0,10,DEV,238,0.79,0.4886076637637415,1.9636429029442983,0.024785759166294136,0.09934125177152235,-0.488386839496889,0.8856959871454105
60,1.0,10,LB,63,0.68,-0.6054921834536768,-1.4013649470970377,0.9194475156287147,-0.09433178311737868,1.3984806587388032,-0.5087927529200824
60,1.0,25,todo,301,0.92,0.4735758939639638,2.269549942657699,0.011617451869410694,0.14137726710938084,-0.660114851175742,0.4605753898902829
60,1.0,25,DEV,238,0.89,0.4752509001319316,2.011920534415394,0.022114157207488303,0.1154560412650597,-0.8451154807113852,0.6586046910088504
60,1.0,25,LB,63,1.0,0.33999496610146707,0.5363763885937145,0.29584922318452844,0.11467933947772657,-0.47737374166625524,0.11802298005353862
60,1.64,10,todo,301,0.3,0.7606021353239599,2.178121137144198,0.014698509667228847,0.08217875262031317,-0.3886609337642699,0.4720805599192463
60,1.64,10,DEV,238,0.37,0.8033921445176663,2.2223859150645477,0.013128618191519868,0.1369872741886718,-0.5897937630589627,0.7957471387634506
60,1.64,10,LB,63,0.05,-5.5418276886580395,-0.21842810261496004,0.5864522143000149,-0.3604469661361001,-0.21668878243408227,-0.580053651474872
60,1.64,25,todo,301,0.34,0.9077091800850656,2.686428576488455,0.0036110193436672713,0.08026091045195761,-0.39968342016665664,0.22558437250691127
60,1.64,25,DEV,238,0.37,0.9462456992350453,2.6068398186208905,0.004569104907152227,0.13981037623242615,-0.5129636458328828,0.8919647937794755
60,1.64,25,LB,63,0.21,-0.9271998857397477,-0.2777465996539631,0.6093965569755095,-0.22422569984953664,0.33502329039041545,-1.0914406766034748
80,0.0,10,todo,281,1.0,0.49006855339214933,2.062016050982812,0.019603103925722398,0.19842453677162544,-0.9534556230009537,0.4779774589820757
80,0.0,10,DEV,218,1.0,0.5449085986896818,1.739754823174534,0.040951039132610376,0.16771541042319052,-0.8530875821837969,0.5152459758312117
80,0.0,10,LB,63,1.0,0.15239017796568488,0.29646968810177804,0.38343570619789724,0.06672427035330261,-0.18252628962214906,0.8159913747488096
80,0.0,25,todo,281,1.0,0.4420655606032591,1.8417102117325064,0.03275877484692444,0.16529708271587573,-1.0091417555602828,0.32679403583138844
80,0.0,25,DEV,218,1.0,0.5396828035903165,1.6977665560340554,0.044775915203970944,0.13830155055775017,-1.1482295355679624,0.4142721738318445
80,0.0,25,LB,63,1.0,0.004890650517761941,0.010234151609657164,0.4959172354889962,0.04195468509984639,-0.6399392174073855,0.4224263556269091
80,1.0,10,todo,281,0.86,0.5414484931853386,2.0361755128234122,0.020866367111258406,0.20913923260572587,-0.4102718047668997,0.9738659283593126
80,1.0,10,DEV,218,0.82,0.5321858671089645,1.529182967018381,0.06310954596198014,0.16717008066800504,-0.4434956959282623,1.0601152983610096
80,1.0,10,LB,63,1.0,0.26531890632155486,0.47042852071206626,0.3190244457508337,0.13858486943164364,-0.41690294776306064,0.7424884104510183
80,1.0,25,todo,281,0.71,0.5148984342889369,1.8935700294056708,0.029141052380626312,0.1768604412864161,-0.32760271704328797,0.6078974499064681
80,1.0,25,DEV,218,0.66,0.5833902979340961,1.5544052006459095,0.06004389674895526,0.1530736043708867,-0.7328913062254201,0.6859615418353008
80,1.0,25,LB,63,0.9,0.04051056682941967,0.08095030154011848,0.46774073817444045,0.06910545313737117,-0.05440677617327575,0.4563333047945937
80,1.64,10,todo,281,0.5,0.5818356000142785,1.6447225775926007,0.05001351731633317,0.1047231216702553,-0.39123979280842874,0.26221524977407956
80,1.64,10,DEV,218,0.59,0.5754135956294492,1.566919752652709,0.05856672499868373,0.149230659985175,-0.4560260429055895,0.6803490530998648
80,1.64,10,LB,63,0.19,-0.5965054220978534,-0.18610188166239391,0.5738175668303427,-0.1716274586107769,0.33502329039041545,-1.0914406766034748
80,1.64,25,todo,281,0.44,0.5136640864951788,1.3990527774839567,0.08089857851887766,0.10013619261770526,-0.586078856164741,0.23036885902289514
80,1.64,25,DEV,218,0.54,0.5545598369750456,1.451362725841861,0.07333944162979966,0.14748693115218262,-0.720671932198594,0.6658672022066556
80,1.64,25,LB,63,0.11,-2.7790248691218564,-1.183284421716485,0.8816517776748456,-0.21435570733493817,0.006449065982153002,-0.7418718454798717
100,0.0,10,todo,261,1.0,0.5277894076815843,2.0454419355751265,0.020405654081283052,0.19768292600616896,-1.1969603381723402,0.25093843441227254
