s_inicio_ventana,s_fin_ventana,batch_inicio,batch_fin,batch_test_ini,batch_test_fin,beta_G,ic_lo_G,ic_hi_G,beta_C,ic_lo_C,ic_hi_C,T_media_R_ventana,espesor_ladrillo_norm_mm_ventana,T_media_R_test,es_dev_frac_test
0,100,AP0001,AP0101,AP0102,AP0111,-0.11529523734884417,-1.3002872675657744,1.0696967928680863,-0.31908219484895983,-1.9644951055739686,1.3263307158760487,1125.741753957359,293.8890511215333,1087.1919184156732,1.0
10,110,AP0012,AP0111,AP0112,AP0121,-0.9179016960704184,-2.3076442461281785,0.4718408539873419,-0.4502816543045208,-2.1073161660864788,1.206752857477437,1114.4307638477433,292.09775068253816,1084.9459617205314,1.0
20,120,AP0022,AP0121,AP0122,AP0131,-0.9548714025885534,-2.336594375178552,0.42685157000144547,-0.829923868824144,-2.5985331253493102,0.9386853877010223,1109.5219706478856,289.68679584953156,1052.0465716780036,1.0
30,130,AP0032,AP0131,AP0132,AP0141,-0.9777257324715243,-2.346409960681452,0.3909584957384038,-0.8846794876799798,-2.660173230944038,0.8908142555840785,1100.3495418834573,287.14226112570924,1025.984407058697,1.0
40,140,AP0042,AP0141,AP0142,AP0151,-1.8457427145876795,-3.297542288184217,-0.3939431409911418,-0.7353089235986754,-2.5074443954632324,1.0368265482658814,1091.118991077651,284.5262233105037,1033.2704087128357,1.0
50,150,AP0052,AP0151,AP0152,AP0161,-2.338580505636142,-3.976000839674804,-0.7011601715974805,-0.3007394917174382,-2.255182147822906,1.6537031643880296,1085.6929898703834,281.8990019209942,1054.3116644848164,1.0
60,160,AP0062,AP0161,AP0162,AP0171,-2.37634476712854,-4.332766503026474,-0.41992303123060526,-0.10818299420640252,-2.680143180840413,2.4637771924276084,1082.1129213554943,279.6440712296722,1075.6270714014863,1.0
70,170,AP0072,AP0171,AP0172,AP0181,-2.0180201880376876,-3.8799316076003665,-0.15610876847500843,0.5082456168808862,-2.393827174332725,3.410318408094497,1074.6648103174787,277.54631988120957,1075.575921875825,1.0
80,180,AP0082,AP0181,AP0182,AP0191,-2.365471985746003,-4.234974511682157,-0.49596945980984897,0.7635890429608407,-2.1925901623646564,3.719768248286338,1068.370600155199,275.1716424218867,1095.0197044848344,1.0
90,190,AP0092,AP0191,AP0192,AP0201,-2.435148715761135,-4.308216909211517,-0.5620805223107532,-0.5661112668576511,-3.452112940463441,2.319890406748139,1067.5047472369465,272.6153688085022,1057.9441591979387,1.0
100,200,AP0102,AP0201,AP0202,AP0211,-2.8109974470706156,-4.639994384042385,-0.9820005100988463,-0.12416002330607805,-3.077840363892616,2.8295203172804597,1064.1917789030642,269.9240750907322,1017.1750202465139,1.0
110,210,AP0112,AP0211,AP0212,AP0221,-2.3188290913364136,-4.022820550359501,-0.6148376323133262,-0.2778050932723099,-3.3653448176043437,2.809734631059724,1057.1900890861482,267.27912631694704,992.8607453627559,1.0
120,220,AP0122,AP0221,AP0222,AP0231,-1.7475513584219575,-3.232743294700797,-0.26235942214311825,0.4262734728664628,-3.105855673558345,3.958402619291271,1047.9815674503704,264.9288860280311,959.5969801185158,1.0
130,230,AP0132,AP0231,AP0232,AP0241,-1.5235143813830154,-3.094257254332611,0.04722849156657993,1.4849548822712384,-2.1073219240971865,5.077231688639664,1038.736608294422,262.4512650554667,936.0366508978841,1.0
140,240,AP0142,AP0241,AP0242,AP0251,-1.2563732130686123,-2.5470117263410215,0.034265300203797144,1.9231573572734921,-1.3749473329242596,5.221262047471244,1029.7418326783406,259.8678141828022,963.047467025461,1.0
150,250,AP0152,AP0251,AP0252,AP0261,-1.0986377841376989,-2.341831953837473,0.1445563855620755,0.8235074809081726,-2.469930033159785,4.11694499497613,1022.7195385096031,257.2429032977927,970.664724545949,1.0
160,260,AP0162,AP0261,AP0262,AP0271,-1.000005900372239,-2.253289724211762,0.25327792346728417,0.4279900186397637,-2.4907721141493653,3.346752151428893,1014.3548445157162,254.41852061393348,969.653604490905,1.0
170,270,AP0172,AP0271,AP0272,AP0281,-1.2302343515064111,-2.5585911115993296,0.09812240858650734,2.195255659316778,-0.8414040414221962,5.231915360055752,1003.7574978246582,251.51373288399643,991.3816308744805,1.0
180,280,AP0182,AP0281,AP0282,AP0291,-0.9452986285808045,-2.312631359745042,0.4220341025834329,2.4565326993231316,-0.21023804083173125,5.123303439477994,995.3380687245237,248.7601343348373,1031.3107235630337,1.0
190,290,AP0192,AP0291,AP0292,AP0301,-0.9128024576284635,-2.2657172342585414,0.4401123190016145,3.5771093536516254,0.619433151306354,6.534785555996897,988.9671706323436,246.08748039024604,1024.5711795888515,0.8
200,300,AP0202,AP0301,AP0302,AP0311,-0.5361930046604427,-1.9203460175525549,0.8479600082316695,2.8507034347300797,-0.41861667411610437,6.120023543576264,985.6298726714351,243.42661923832458,992.4738317713069,0.0
210,310,AP0212,AP0311,AP0312,AP0321,-0.21370404861330725,-1.5642159599359198,1.1368078627093052,2.5948791016675172,-0.6616627250296907,5.851420928364725,983.1597538239143,240.431195714413,960.6981281219471,0.0
220,320,AP0222,AP0321,AP0322,AP0331,-0.4238710434638604,-1.8909575119125148,1.043215424984794,2.7964404883890057,-0.33215581649075254,5.925036793268764,979.9434920998334,237.50684040223678,972.8169313704811,0.0
230,330,AP0232,AP0331,AP0332,AP0341,0.013739399167525382,-1.4639476189390819,1.4914264172741327,2.808961334704548,-0.4351260602930971,6.053048729702193,981.2654872250299,234.72755504278484,979.9101254362655,0.0
240,340,AP0242,AP0341,AP0342,AP0351,0.12960224555590805,-1.4914330911008753,1.7506375822126914,2.7525295674943764,-0.6066316273975612,6.1116907623863135,985.6528346788681,232.01435668346537,982.1650183593604,0.0
250,350,AP0252,AP0351,AP0352,AP0361,0.3718335303984977,-1.1711262914080016,1.914793352204997,2.9164114238239325,-0.18336600171636075,6.016188849364226,987.5645898122581,229.3493273855458,959.001418899628,0.0
260,360,AP0262,AP0361,AP0362,AP0362,0.5001223477802705,-0.9888634343268334,1.9891081298873745,2.3290462144239945,-0.20578665914005878,4.863879087988048,986.398259247626,226.94707890841232,972.4621324799202,0.0
