termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
__ap,0.00035152205447516326,0.0002341593819870742,1.5012084994935952,0.133301642279938,-0.0001431218930013185,0.0007883186518404987,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zT,0.0003409212954088686,0.0002144064685454307,1.590070009182725,0.11181902525844398,-0.000248345652923261,0.0007392503066876444,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zidx,0.00027494896036193907,0.00027142717118157524,1.012975079705664,0.3110720642719277,-0.00033048119073609704,0.0007649687644119914,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
__ap,0.011152398539734149,0.00481581665607759,2.315785532586618,0.020569981544513716,0.0030928301553700415,0.02005595545343066,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zT,-0.00014586469729104605,0.0054106362273843075,-0.026958880834160644,0.978492530441739,-0.01043220534847392,0.009793290949509073,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zidx,0.0003570550727302897,0.0056038205229598705,0.06371636480279305,0.9491960739961686,-0.009228224805504342,0.009802127333628395,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap,0.0027800525027542418,0.0019131228869662213,1.4531489439043688,0.1461824042830504,-0.00023076589678040765,0.006489314578570534,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zT,0.001200249564691982,0.002385838526171311,0.5030724215096358,0.614913355544163,-0.0027512731764407,0.006090216991901376,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zidx,0.0014555524470435733,0.002474546912866974,0.5882096797094832,0.556391560994065,-0.0025271446811121665,0.006694830179647657,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap,0.011406972347182277,0.004806364107694492,2.3733059109943198,0.01762965583373658,0.003401656642768742,0.019846702245951944,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zT,-5.5562902232532135e-05,0.00543250486114115,-0.010227860563913166,0.9918394902435639,-0.010119098757531602,0.01043021869782179,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zidx,-0.0003704215990876521,0.005607113010218783,-0.06606280244620907,0.9473278254764603,-0.009630059506255081,0.00965494653661903,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
__ap,-0.0022061373732675557,0.0009063582748970017,-2.434067668790535,0.014930203604398081,-0.003911974410034397,-0.000682869227876913,TOTAL,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zT,0.0011914104093837723,0.0010676305685205494,1.1159388317578323,0.2644483184590326,-0.0007701068946062078,0.003343846554016414,TOTAL,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zidx,0.0007631171676886537,0.0010531825634354187,0.7245820375143802,0.4687084818617203,-0.0008054089473965269,0.002950162754762465,TOTAL,feo_ret__GN,tasa_gn_nm3_min
__ap,0.000592322800545265,0.00022653632966612494,2.6146923163196187,0.00893078668724432,8.765123651670174e-05,0.0009987026386547035,DEV,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zT,0.00024017776152544538,0.00019043069491587946,1.2612344960015038,0.2072243735679552,-0.00016487021540659242,0.0006541298582767781,DEV,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zidx,0.0003808804603164917,0.0001787275087517001,2.1310679199676845,0.03308354711314546,-1.3393967731645446e-05,0.0007730469187249509,DEV,sn_dep__Cx_sn,Cx_sn_v6
__ap,0.007721377858082053,0.005235372001619212,1.4748479870568818,0.14025341659518012,-0.0012990698588119605,0.018177047071633028,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zT,-0.0018563890985398613,0.0053770693506249205,-0.3452417994802527,0.7299125969026594,-0.012362944057477045,0.00879388736622781,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zidx,0.00012492520728202898,0.005123410204767356,0.024383213970606048,0.9805469376567887,-0.0111901109384865,0.009783126844828566,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap,0.006032011914679715,0.0020708887284201583,2.9127648588253328,0.0035824425082857463,0.0019023347154279572,0.009502911029141784,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zT,0.0017407029499544235,0.0021751441184658157,0.8002701683887435,0.42355428308328547,-0.001859750017652081,0.006109351620917705,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zidx,0.004227247687406344,0.002239923984646961,1.8872281900551229,0.059129640227847675,0.0004915857303470905,0.008869152522224566,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap,0.0075015140958092676,0.005242352440292619,1.4309442528420593,0.15244619284132843,-0.001716927535926857,0.017921935865488077,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zT,-0.0015293735771520866,0.005406023845403303,-0.28290174458858525,0.7772521572042864,-0.011880479849100492,0.009359607162578396,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zidx,-0.0007096630229901403,0.005109967432606841,-0.13887818901971102,0.889546406569152,-0.011423752494760466,0.009365961825592458,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
__ap,-0.0024905449754379534,0.0010781953218560619,-2.3099200348510127,0.020892581654092864,-0.004594168820207655,-0.0007435050785714706,DEV,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zT,0.0010245152294534393,0.0011378040934247003,0.9004320123069073,0.3678903911842414,-0.001292354799060684,0.003023433821007104,DEV,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zidx,0.00019078259416980826,0.0010849166186519613,0.17585000624919994,0.8604117824116728,-0.001791664698623627,0.001991527035429626,DEV,feo_ret__GN,tasa_gn_nm3_min
