periodo,orden,n,gn_hab,gn_delta_med,gn_%rec,gn_%baja,gn_%sube,carbon_hab,carbon_delta_med,carbon_%rec,carbon_%baja,carbon_%sube
b100-199,0,110,27.38,-2.11,78.18,78.18,0.0,60.84,-0.23,18.18,9.09,9.09
b100-199,1,110,23.72,-1.8,72.73,72.73,0.0,27.16,-0.06,18.18,9.09,9.09
b100-199,2,110,18.37,-1.19,53.64,53.64,0.0,10.63,-0.11,18.18,9.09,9.09
b100-199,3,110,16.62,-0.67,40.0,40.0,0.0,6.46,-0.04,18.18,9.09,9.09
b200-299,0,100,28.76,-0.64,39.0,39.0,0.0,59.73,1.92,40.0,0.0,40.0
b200-299,1,100,25.2,-0.61,33.0,33.0,0.0,29.22,2.04,40.0,0.0,40.0
b200-299,2,100,18.89,-0.51,27.0,27.0,0.0,11.71,1.85,40.0,0.0,40.0
b200-299,3,100,17.4,-0.28,21.0,21.0,0.0,6.4,1.2,40.0,0.0,40.0
b300-361(lockbox),0,52,29.4,0.0,0.0,0.0,0.0,61.33,1.76,42.31,0.0,42.31
b300-361(lockbox),1,52,25.55,0.0,0.0,0.0,0.0,31.42,1.47,42.31,0.0,42.31
b300-361(lockbox),2,52,18.6,0.0,0.0,0.0,0.0,11.62,1.34,42.31,0.0,42.31
b300-361(lockbox),3,52,16.42,0.0,0.0,0.0,0.0,6.78,0.86,42.31,0.0,42.31
